Filename,Total Checks,Total Results,Total Yes,Ratio Results/Checks,Ratio Yes/Results,Ratio Yes/Checks,Average Word Count
FILM-7B_maxlen16000.json,6205,2487,245,0.4008058017727639,0.09851226377161239,0.0394842868654311,6279.821428571428
FILM-7B_maxlen32000.json,8215,2911,899,0.35435179549604384,0.30882858124355894,0.10943396226415095,13775.222222222223
LongWriter-llama3.1-8b_maxlen16000.json,6205,2700,610,0.43513295729250606,0.22592592592592592,0.09830781627719581,11036.0773480663
LongWriter-llama3.1-8b_maxlen32000.json,8215,2447,823,0.29786975045648206,0.3363302002451982,0.10018259281801582,19924.6
Meta-Llama-3.1-70B-Instruct_maxlen16000.json,6205,5257,1310,0.8472199838839646,0.24919155411831842,0.21112006446414183,8055.321428571428
Meta-Llama-3.1-70B-Instruct_maxlen32000.json,8215,4984,1783,0.6066950699939135,0.35774478330658105,0.21704199634814364,15196.61797752809
Meta-Llama-3.1-8B-Instruct_maxlen16000.json,6205,5820,1364,0.9379532634971797,0.23436426116838488,0.21982272360999194,8804.327176781002
Meta-Llama-3.1-8B-Instruct_maxlen32000.json,8215,5850,1551,0.7121119902617163,0.2651282051282051,0.18880097382836275,17353.786301369862
Meta-Llama-3.1-8B_maxlen16000.json,6205,3392,323,0.5466559226430299,0.09522405660377359,0.052054794520547946,11443.063559322034
Mistral-7B-Instruct-v0.2_maxlen16000.json,6205,4924,1082,0.7935535858178888,0.2197400487408611,0.17437550362610799,7295.738675958188
Mistral-7B-Instruct-v0.2_maxlen32000.json,8215,3631,1342,0.4419963481436397,0.3695951528504544,0.16335970785149118,16145.679324894514
Mistral-7B-v0.3_maxlen16000.json,6205,2622,390,0.4225624496373892,0.14874141876430205,0.06285253827558421,9193.661290322581
Mixtral-8x7B-Instruct-v0.1_maxlen16000.json,6205,4908,1739,0.7909750201450443,0.35431947840260797,0.28025785656728447,8112.675496688742
Mixtral-8x7B-Instruct-v0.1_maxlen32000.json,8215,4599,1836,0.5598295800365186,0.39921722113502933,0.22349360925136944,15838.68345323741
Qwen2-72B-Instruct_maxlen16000.json,6205,5842,1490,0.9414987912973408,0.2550496405340637,0.2401289282836422,8013.498680738786
Qwen2-72B-Instruct_maxlen32000.json,8215,5189,1428,0.6316494217894096,0.2751975332433995,0.1738283627510651,19845.15172413793
Qwen2-7B-Instruct_maxlen16000.json,6205,3587,1001,0.5780821917808219,0.27906328408140507,0.1613215149073328,5138.333333333333
Qwen2-7B-Instruct_maxlen32000.json,8215,3267,1035,0.39768715763846624,0.3168044077134986,0.12598904443091904,9617.09090909091
Qwen2-7B_maxlen16000.json,6205,2185,650,0.35213537469782435,0.2974828375286041,0.10475423045930701,6508.957627118644
